Date,Pptn,PET,streamflow
1989-04-19,0,3.73954127753266,0.060819422313919
1989-04-20,0,3.56476640007067,0.060819422313919
1989-04-21,0,3.94321217939665,0.061565672894458
1989-04-22,0,3.97710153924012,0.059326921152841
1989-04-23,0,3.5333047785091,0.058207545282033
1989-04-24,0,3.91001421686525,0.057461294701494
1989-04-25,0,3.86074260257006,0.058580670572302
1989-04-26,0,4.00494336084764,0.058207545282033
1989-04-27,0,3.84720241738948,0.057088169411224
1989-04-28,0,3.44151306508791,0.054849417669608
1989-04-29,0,4.0005966329889,0.054103167089069
1989-04-30,0,4.04720118532043,0.041043781929639
1989-05-01,0,4.14648498349048,0.035446902575597
1989-05-02,0,3.76157951538701,0.035073777285327
1989-05-03,0,3.65330152485559,0.035446902575597
